Student_ID,Gender,Subject,Study_Hours_per_Week,Attendance_Rate,Previous_Score,Quiz1,Quiz2,Quiz3,Final_Score,,,,
S1000,Female,English,7.3,0.88,70,30,46,58,45,,,,
S1001,Male,English,10.1,0.89,78,55,64,73,58,,,,
S1002,Male,Maths,9.4,0.98,50,53,47,55,44,,,,Sum of Final_Score
S1003,Male,Maths,7.8,0.83,70,50,65,58,58,,,,5777
S1004,Female,Maths,5.5,0.92,75,49,28,51,47,,,,
S1005,Female,Science,3.5,0.86,41,22,50,16,39,,,,
S1006,Female,English,6.7,0.86,48,40,50,44,41,,,,
S1007,Male,English,10.6,0.97,38,46,30,47,42,,,,
S1008,Male,Maths,8.6,0.95,59,59,48,53,52,,,,
S1009,Male,Science,4.3,0.95,71,43,41,36,48,,,,
S1010,Female,Science,8.5,0.98,80,60,49,53,50,,,,
S1011,Male,Maths,9.2,0.88,63,50,48,63,53,,,,
S1012,Male,Maths,5.3,0.93,82,45,43,54,50,,,,
S1013,Female,Maths,8.5,0.86,45,40,50,49,49,,,,
S1014,Female,English,8.2,0.91,42,45,49,42,41,,,,
S1015,Female,Maths,4.6,0.87,61,35,51,42,44,,,,
S1016,Female,Science,9.1,0.89,67,56,61,64,61,,,,
S1017,Male,English,9.7,0.93,62,71,46,51,45,,,,
S1018,Female,Science,11.2,0.81,37,55,44,47,46,,,,
S1019,Female,English,11.2,1,61,55,63,55,50,,,,
S1020,Male,English,3.9,0.8,46,40,22,29,36,,,,
S1021,Female,Maths,5.2,0.78,70,40,52,46,37,,,,
S1022,Female,Science,9.5,0.97,66,39,54,59,47,,,,
S1023,Female,Maths,9.5,0.89,51,41,47,45,47,,,,
S1024,Female,Maths,9.5,0.93,56,36,57,62,59,,,,
S1025,Male,Maths,19.6,0.93,49,76,80,66,66,,,,
S1026,Female,Science,9.7,0.88,61,54,52,53,47,,,,
S1027,Female,Science,11.4,0.81,73,77,74,61,71,,,,
S1028,Male,Maths,10.9,0.89,50,55,44,64,45,,,,
S1029,Female,Maths,10,0.83,68,55,64,61,45,,,,
S1030,Male,English,7.1,0.96,56,50,50,54,51,,,,
S1031,Female,Maths,10.3,0.87,52,34,50,40,39,,,,
S1032,Female,Maths,5.7,0.81,61,43,46,47,39,,,,
S1033,Male,Science,7.3,0.85,50,48,33,50,46,,,,
S1034,Male,English,6.5,0.91,55,30,50,44,42,,,,
S1035,Male,Maths,8.2,0.83,48,53,43,53,45,,,,
S1036,Female,Science,14.9,0.81,86,82,76,76,61,,,,
S1037,Female,English,2.4,0.9,62,29,43,48,44,,,,
S1038,Male,Maths,10.1,0.9,54,57,47,71,59,,,,
S1039,Female,English,3.2,0.84,65,54,27,38,37,,,,
S1040,Female,Science,6.6,0.84,61,46,33,43,49,,,,
S1041,Female,Science,11.3,0.9,59,59,63,69,53,,,,
S1042,Female,Science,8.2,0.76,69,49,44,68,42,,,,
S1043,Male,Science,4.8,0.77,71,36,59,43,40,,,,
S1044,Female,Maths,5.9,0.82,56,47,25,39,37,,,,
S1045,Male,English,10,0.86,55,45,66,50,50,,,,
S1046,Female,Maths,5.8,0.9,59,42,44,33,39,,,,
S1047,Male,Maths,8.6,1,34,36,39,31,40,,,,
S1048,Male,Maths,8.1,0.95,44,46,38,34,34,,,,
S1049,Female,Science,6,0.87,78,52,55,48,55,,,,
S1050,Male,Science,14.4,0.88,82,84,77,77,69,,,,
S1051,Male,Maths,9.9,0.8,59,49,63,56,58,,,,
S1052,Male,Science,1.9,0.88,69,31,50,52,43,,,,
S1053,Male,Maths,8.6,0.86,66,44,55,47,50,,,,
S1054,Male,Science,6,0.91,98,54,58,72,60,,,,
S1055,Male,Maths,10.6,0.81,75,65,63,62,60,,,,
S1056,Female,English,5.6,0.92,60,47,45,44,46,,,,
S1057,Female,Science,7.7,1,51,36,31,50,48,,,,
S1058,Female,English,9.5,0.87,43,53,35,36,40,,,,
S1059,Female,Maths,10.6,0.91,64,68,64,62,63,,,,
S1060,Female,Maths,4.4,0.94,53,38,38,39,40,,,,
S1061,Female,Maths,7,0.85,45,54,38,44,51,,,,
S1062,Male,English,6.6,0.9,54,35,43,46,37,,,,
S1063,Female,English,6,0.89,49,28,42,59,52,,,,
S1064,Female,Maths,8.2,0.89,82,58,70,69,60,,,,
S1065,Male,Science,9.2,0.82,73,69,52,55,45,,,,
S1066,Female,English,4.2,0.88,62,43,41,37,39,,,,
S1067,Male,Science,8.2,0.89,80,64,58,63,53,,,,
S1068,Female,Science,8.2,1,63,71,72,62,66,,,,
S1069,Male,Maths,11.1,0.96,52,45,41,63,46,,,,
S1070,Male,Maths,3.4,1,80,62,54,60,54,,,,
S1071,Female,English,6.5,0.82,68,48,53,46,35,,,,
S1072,Female,English,11.8,0.95,50,56,58,48,47,,,,
S1073,Male,Science,5.9,0.89,60,48,51,49,35,,,,
S1074,Male,Maths,9.3,0.89,51,52,62,44,43,,,,
S1075,Male,Maths,10.3,0.82,45,51,57,53,54,,,,
S1076,Male,English,5.2,0.81,73,38,33,51,43,,,,
S1077,Female,English,7.8,0.83,85,61,50,50,50,,,,
S1078,Female,English,0,0.89,45,33,15,35,23,,,,
S1079,Female,English,8.2,0.84,69,53,45,61,48,,,,
S1080,Male,Science,7.2,0.82,54,56,49,40,45,,,,
S1081,Male,Maths,4.3,0.89,56,31,31,36,30,,,,
S1082,Female,Maths,12.9,0.91,55,53,62,62,63,,,,
S1083,Female,English,3.7,1,52,31,28,38,39,,,,
S1084,Female,Science,6.7,0.96,63,46,42,54,45,,,,
S1085,Female,Maths,8.4,0.83,52,55,50,63,49,,,,
S1086,Male,Maths,12.3,0.81,65,49,56,62,54,,,,
S1087,Male,Science,3.7,0.92,61,48,27,33,26,,,,
S1088,Male,Maths,11.5,0.77,59,57,51,47,47,,,,
S1089,Female,Maths,8,1,51,41,54,40,42,,,,
S1090,Female,Science,5.1,0.97,55,29,31,40,31,,,,
S1091,Male,English,9.4,0.84,71,43,79,73,57,,,,
S1092,Male,Science,8.6,0.74,68,60,59,51,59,,,,
S1093,Male,Maths,6.2,0.99,50,39,41,42,46,,,,
S1094,Male,English,8.2,0.87,63,39,44,52,40,,,,
S1095,Female,Maths,6.8,0.98,71,38,57,62,55,,,,
S1096,Male,Maths,8.3,0.75,42,39,50,62,52,,,,
S1097,Female,English,10,0.83,69,71,60,55,59,,,,
S1098,Female,Science,12.8,0.88,54,58,81,55,58,,,,
S1099,Female,English,8.2,0.88,69,28,42,54,38,,,,
S1100,Female,Science,14.4,0.84,53,62,73,68,64,,,,
S1101,Male,Science,2.1,0.93,40,20,18,40,33,,,,
S1102,Female,Maths,7.5,0.79,42,18,40,44,41,,,,
S1103,Female,Science,9.8,0.87,63,54,70,53,57,,,,
S1104,Male,Maths,8.8,0.89,65,51,49,59,56,,,,
S1105,Female,Maths,6.1,0.92,51,44,55,50,46,,,,
S1106,Female,English,7.4,0.94,70,65,58,60,61,,,,
S1107,Male,Science,6.5,0.79,42,45,33,41,39,,,,
S1108,Female,English,6.2,0.76,61,41,50,55,55,,,,
S1109,Female,Science,10.5,0.98,47,41,58,59,48,,,,
S1110,Female,English,9.1,0.91,54,69,55,61,64,,,,
S1111,Female,Science,5.9,0.82,63,43,32,51,42,,,,
S1112,Male,Science,10.7,1,52,53,48,51,46,,,,
S1113,Male,Science,8.9,0.89,57,49,49,52,45,,,,
S1114,Male,Maths,10.4,0.97,74,62,62,73,60,,,,
S1115,Male,English,9.9,0.89,55,51,57,46,49,,,,
S1116,Male,Maths,5.5,1,72,41,49,53,51,,,,
S1117,Female,Maths,6.3,1,48,34,29,37,34,,,,
S1118,Male,Science,10.2,0.86,68,58,62,60,55,,,,
S1119,Male,Maths,9.8,0.96,79,57,68,74,73,,,,
