date,page,source,visits,unique_visitors,bounce_rate
2025-10-13,Home,Direct,180,150,0.42
2025-10-13,Home,Search,220,200,0.35
2025-10-13,Home,Social,90,80,0.48
2025-10-13,Home,Referral,60,55,0.4
2025-10-13,Courses,Direct,95,82,0.38
2025-10-13,Courses,Search,140,120,0.33
2025-10-13,Blog,Search,110,100,0.5
2025-10-13,Contact,Direct,45,43,0.3
2025-10-13,Admissions,Search,70,65,0.32
2025-10-14,Home,Direct,170,145,0.44
2025-10-14,Home,Search,240,215,0.34
2025-10-14,Home,Social,85,76,0.47
2025-10-14,Home,Referral,55,50,0.39
2025-10-14,Courses,Direct,100,88,0.37
2025-10-14,Courses,Search,150,132,0.31
2025-10-14,Blog,Search,120,108,0.49
2025-10-14,Contact,Direct,40,38,0.29
2025-10-14,Admissions,Search,75,69,0.3
2025-10-15,Home,Direct,160,138,0.45
2025-10-15,Home,Search,230,208,0.36
2025-10-15,Home,Social,92,84,0.46
2025-10-15,Home,Referral,58,52,0.41
2025-10-15,Courses,Direct,105,90,0.36
2025-10-15,Courses,Search,145,128,0.32
2025-10-15,Blog,Search,115,104,0.48
2025-10-15,Contact,Direct,42,39,0.3
2025-10-15,Admissions,Search,72,67,0.33
2025-10-16,Home,Direct,190,160,0.43
2025-10-16,Home,Search,245,220,0.34
2025-10-16,Home,Social,88,80,0.45
2025-10-16,Home,Referral,62,56,0.4
2025-10-16,Courses,Direct,110,96,0.35
2025-10-16,Courses,Search,155,136,0.3
2025-10-16,Blog,Search,118,106,0.47
2025-10-16,Contact,Direct,39,37,0.28
2025-10-16,Admissions,Search,78,73,0.31
2025-10-17,Home,Direct,210,175,0.42
2025-10-17,Home,Search,260,235,0.33
2025-10-17,Home,Social,95,87,0.44
2025-10-17,Home,Referral,65,60,0.39
2025-10-17,Courses,Direct,115,100,0.34
2025-10-17,Courses,Search,160,142,0.3
2025-10-17,Blog,Search,122,110,0.47
2025-10-17,Contact,Direct,43,40,0.29
2025-10-17,Admissions,Search,82,76,0.3
2025-10-18,Home,Direct,195,168,0.44
2025-10-18,Home,Search,250,226,0.35
2025-10-18,Home,Social,100,90,0.46
2025-10-18,Home,Referral,60,55,0.4
2025-10-18,Courses,Direct,108,94,0.35
2025-10-18,Courses,Search,150,134,0.31
2025-10-18,Blog,Search,130,118,0.48
2025-10-18,Contact,Direct,38,36,0.3
2025-10-18,Admissions,Search,80,75,0.31
2025-10-19,Home,Direct,185,160,0.43
2025-10-19,Home,Search,240,218,0.34
2025-10-19,Home,Social,90,83,0.45
2025-10-19,Home,Referral,58,53,0.4
2025-10-19,Courses,Direct,102,90,0.36
2025-10-19,Courses,Search,148,130,0.32
2025-10-19,Blog,Search,125,113,0.49
2025-10-19,Contact,Direct,36,34,0.3
2025-10-19,Admissions,Search,78,72,0.32
